start_station_name,count,month,station_name,lat,lng
Grove St PATH,5204,08,Grove St PATH,40.719353872225085,-74.0431576855399
Grove St PATH,5167,07,Grove St PATH,40.719353872225085,-74.0431576855399
Grove St PATH,4918,06,Grove St PATH,40.719353872225085,-74.0431576855399
Hoboken Terminal - River St & Hudson Pl,4348,07,Hoboken Terminal - River St & Hudson Pl,40.73606068433677,-74.02921980308642
Hoboken Terminal - River St & Hudson Pl,3968,08,Hoboken Terminal - River St & Hudson Pl,40.73606068433677,-74.02921980308642
Hoboken Terminal - River St & Hudson Pl,3942,06,Hoboken Terminal - River St & Hudson Pl,40.73606068433677,-74.02921980308642
South Waterfront Walkway - Sinatra Dr & 1 St,3941,07,South Waterfront Walkway - Sinatra Dr & 1 St,40.737019777261544,-74.02781516269052
South Waterfront Walkway - Sinatra Dr & 1 St,3870,08,South Waterfront Walkway - Sinatra Dr & 1 St,40.737019777261544,-74.02781516269052
South Waterfront Walkway - Sinatra Dr & 1 St,3474,06,South Waterfront Walkway - Sinatra Dr & 1 St,40.737019777261544,-74.02781516269052
12 St & Sinatra Dr N,3367,07,12 St & Sinatra Dr N,40.75050836392064,-74.02417361106347
Hoboken Terminal - River St & Hudson Pl,3130,12,Hoboken Terminal - River St & Hudson Pl,40.73606068433677,-74.02921980308642
Hoboken Terminal - Hudson St & Hudson Pl,2956,08,Hoboken Terminal - Hudson St & Hudson Pl,40.73588602729506,-74.03037866474281
Grove St PATH,2953,01,Grove St PATH,40.719353872225085,-74.0431576855399
Newport PATH,2931,08,Newport PATH,40.727241564287155,-74.03377494760345
Hoboken Terminal - River St & Hudson Pl,2850,01,Hoboken Terminal - River St & Hudson Pl,40.73606068433677,-74.02921980308642
Grove St PATH,2785,2,Grove St PATH,40.719353872225085,-74.0431576855399
Newport PATH,2779,07,Newport PATH,40.727241564287155,-74.03377494760345
City Hall - Washington St & 1 St,2753,08,City Hall - Washington St & 1 St,40.73729415652105,-74.03103395289122
Hoboken Terminal - Hudson St & Hudson Pl,2724,07,Hoboken Terminal - Hudson St & Hudson Pl,40.73588602729506,-74.03037866474281
Hoboken Terminal - Hudson St & Hudson Pl,2686,06,Hoboken Terminal - Hudson St & Hudson Pl,40.73588602729506,-74.03037866474281
Hoboken Terminal - River St & Hudson Pl,2679,2,Hoboken Terminal - River St & Hudson Pl,40.73606068433677,-74.02921980308642
City Hall - Washington St & 1 St,2660,07,City Hall - Washington St & 1 St,40.73729415652105,-74.03103395289122
12 St & Sinatra Dr N,2587,08,12 St & Sinatra Dr N,40.75050836392064,-74.02417361106347
Newport PATH,2504,06,Newport PATH,40.727241564287155,-74.03377494760345
Newport Pkwy,2439,08,Newport Pkwy,40.728771569693954,-74.03209720695541
Grove St PATH,2421,12,Grove St PATH,40.719353872225085,-74.0431576855399
City Hall - Washington St & 1 St,2394,06,City Hall - Washington St & 1 St,40.73729415652105,-74.03103395289122
Hamilton Park,2345,08,Hamilton Park,40.72758195741273,-74.04425474975753
Newport Pkwy,2333,07,Newport Pkwy,40.728771569693954,-74.03209720695541
Hamilton Park,2326,07,Hamilton Park,40.72758195741273,-74.04425474975753
Marin Light Rail,2271,08,Marin Light Rail,40.71461593774392,-74.04280647497728
Hamilton Park,2232,06,Hamilton Park,40.72758195741273,-74.04425474975753
Newport Pkwy,2177,06,Newport Pkwy,40.728771569693954,-74.03209720695541
12 St & Sinatra Dr N,2164,06,12 St & Sinatra Dr N,40.75050836392064,-74.02417361106347
Marin Light Rail,2159,07,Marin Light Rail,40.71461593774392,-74.04280647497728
Exchange Pl,2127,08,Exchange Pl,40.7164528329811,-74.0344106788182
Hudson St & 4 St,2119,08,Hudson St & 4 St,40.74084981097077,-74.02870201987967
Bergen Ave & Sip Ave,2089,08,Bergen Ave & Sip Ave,40.73105791483677,-74.06432696268313
Harborside,2067,08,Harborside,40.71933225235463,-74.0342925772739
Bergen Ave & Sip Ave,2063,07,Bergen Ave & Sip Ave,40.73105791483677,-74.06432696268313
11 St & Washington St,2057,08,11 St & Washington St,40.74996341243374,-74.02725250495577
11 St & Washington St,2049,07,11 St & Washington St,40.74996341243374,-74.02725250495577
Harborside,1941,07,Harborside,40.71933225235463,-74.0342925772739
14 St Ferry - 14 St & Shipyard Ln,1931,06,14 St Ferry - 14 St & Shipyard Ln,40.75265636635399,-74.02432327947906
8 St & Washington St,1907,08,8 St & Washington St,40.74581830756537,-74.0282430341951
Marin Light Rail,1897,06,Marin Light Rail,40.71461593774392,-74.04280647497728
Liberty Light Rail,1878,08,Liberty Light Rail,40.71134923136692,-74.05558174770286
Hudson St & 4 St,1878,07,Hudson St & 4 St,40.74084981097077,-74.02870201987967
Columbus Park - Clinton St & 9 St,1857,08,Columbus Park - Clinton St & 9 St,40.748128528161715,-74.03245559550571
Hoboken Ave at Monmouth St,1843,06,Hoboken Ave at Monmouth St,40.73519276983834,-74.04679361239373
Hoboken Ave at Monmouth St,1838,07,Hoboken Ave at Monmouth St,40.73519276983834,-74.04679361239373
City Hall,1823,06,City Hall,40.71773527069002,-74.0438538286547
14 St Ferry - 14 St & Shipyard Ln,1794,08,14 St Ferry - 14 St & Shipyard Ln,40.75265636635399,-74.02432327947906
Liberty Light Rail,1787,07,Liberty Light Rail,40.71134923136692,-74.05558174770286
Exchange Pl,1786,06,Exchange Pl,40.7164528329811,-74.0344106788182
South Waterfront Walkway - Sinatra Dr & 1 St,1783,01,South Waterfront Walkway - Sinatra Dr & 1 St,40.737019777261544,-74.02781516269052
11 St & Washington St,1782,06,11 St & Washington St,40.74996341243374,-74.02725250495577
Bloomfield St & 15 St,1770,07,Bloomfield St & 15 St,40.75427980769925,-74.02668961464859
Exchange Pl,1760,07,Exchange Pl,40.7164528329811,-74.0344106788182
City Hall,1755,07,City Hall,40.71773527069002,-74.0438538286547
Warren St,1747,08,Warren St,40.721128604446385,-74.03805384054684
Hoboken Terminal - Hudson St & Hudson Pl,1734,01,Hoboken Terminal - Hudson St & Hudson Pl,40.73588602729506,-74.03037866474281
City Hall,1730,08,City Hall,40.71773527069002,-74.0438538286547
Hoboken Terminal - Hudson St & Hudson Pl,1726,12,Hoboken Terminal - Hudson St & Hudson Pl,40.73588602729506,-74.03037866474281
Hoboken Ave at Monmouth St,1725,08,Hoboken Ave at Monmouth St,40.73519276983834,-74.04679361239373
Warren St,1719,07,Warren St,40.721128604446385,-74.03805384054684
Madison St & 1 St,1704,08,Madison St & 1 St,40.73877262234305,-74.03921504877847
8 St & Washington St,1688,07,8 St & Washington St,40.74581830756537,-74.0282430341951
Newark Ave,1670,08,Newark Ave,40.721529182442865,-74.04626884338724
Hudson St & 4 St,1670,06,Hudson St & 4 St,40.74084981097077,-74.02870201987967
Washington St,1655,08,Washington St,40.72430662255828,-74.03551025020833
Southwest Park - Jackson St & Observer Hwy,1653,08,Southwest Park - Jackson St & Observer Hwy,40.737566782311454,-74.04168423787472
Columbus Park - Clinton St & 9 St,1650,07,Columbus Park - Clinton St & 9 St,40.748128528161715,-74.03245559550571
Hoboken Terminal - Hudson St & Hudson Pl,1632,2,Hoboken Terminal - Hudson St & Hudson Pl,40.73588602729506,-74.03037866474281
South Waterfront Walkway - Sinatra Dr & 1 St,1631,2,South Waterfront Walkway - Sinatra Dr & 1 St,40.737019777261544,-74.02781516269052
Clinton St & 7 St,1625,08,Clinton St & 7 St,40.745284061693106,-74.03338843295066
Harborside,1619,06,Harborside,40.71933225235463,-74.0342925772739
Madison St & 1 St,1613,07,Madison St & 1 St,40.73877262234305,-74.03921504877847
Columbus Park - Clinton St & 9 St,1590,06,Columbus Park - Clinton St & 9 St,40.748128528161715,-74.03245559550571
Liberty Light Rail,1582,06,Liberty Light Rail,40.71134923136692,-74.05558174770286
Columbus Drive,1555,07,Columbus Drive,40.71855011769557,-74.03883679459595
Columbus Drive,1550,08,Columbus Drive,40.71855011769557,-74.03883679459595
Newark Ave,1546,07,Newark Ave,40.721529182442865,-74.04626884338724
