started_at_hour,count,month
18,11420,08
17,10735,08
18,10247,07
17,9619,07
18,9576,06
17,9351,06
19,9022,08
19,8460,07
16,7365,08
19,7326,06
16,7189,07
8,6882,08
20,6613,07
20,6590,08
16,6465,06
8,6235,07
8,6077,06
15,6028,08
13,5916,08
14,5832,08
15,5702,06
15,5646,07
12,5602,08
20,5503,06
13,5494,07
7,5344,08
14,5318,07
12,5244,07
13,5089,06
11,5054,08
12,5030,06
11,4932,07
14,4807,06
7,4803,07
9,4766,08
21,4686,08
7,4685,06
21,4665,07
9,4458,07
10,4336,07
9,4218,06
11,4194,06
10,4162,08
21,4002,06
10,3884,06
22,3526,07
22,3297,08
6,2821,08
22,2744,06
6,2710,07
6,2662,06
23,2372,07
23,2308,08
23,1997,06
0,1484,07
0,1382,08
0,1128,06
5,1025,07
1,1002,07
5,898,08
5,878,06
1,820,08
1,675,06
2,568,07
2,484,08
2,446,06
4,359,07
4,356,08
4,339,06
3,303,07
3,257,08
3,245,06
