ended_at_hour,count,month
17,5547,12
18,5122,01
17,5106,01
18,5067,12
18,4946,02
17,4909,02
16,4506,12
16,4049,01
8,3985,01
8,3902,12
15,3899,12
8,3814,02
19,3730,01
15,3670,01
16,3656,02
19,3530,12
19,3455,02
14,3441,12
13,3389,12
12,3330,12
14,3298,01
15,3280,02
13,3250,01
12,2956,01
7,2912,01
11,2898,12
14,2890,02
9,2889,12
13,2808,02
7,2770,02
9,2673,01
9,2616,02
7,2615,12
10,2612,12
11,2533,01
20,2523,01
12,2507,02
11,2375,02
20,2374,12
20,2269,02
10,2134,01
10,2036,02
21,1851,12
21,1829,01
21,1801,02
6,1592,01
22,1401,12
6,1342,12
6,1328,02
22,1317,01
23,1199,12
22,1183,02
23,976,01
0,903,12
23,802,02
0,677,01
1,618,12
0,545,02
5,499,01
1,491,01
5,469,02
2,439,12
5,428,12
2,365,01
1,270,02
4,263,12
3,237,12
2,211,02
3,204,01
4,184,01
4,155,02
3,118,02
