started_at_hour,count,month
17,5565,12
17,5193,01
17,5001,02
18,4984,01
18,4871,12
18,4802,02
16,4634,12
16,4082,01
8,4019,01
8,3943,12
15,3914,12
8,3844,02
16,3733,02
15,3702,01
14,3530,12
19,3516,01
19,3413,12
12,3369,12
13,3362,12
14,3346,01
15,3323,02
13,3281,01
19,3229,02
7,3126,01
12,3022,01
11,2993,12
7,2974,02
14,2930,02
13,2871,02
9,2838,12
7,2794,12
11,2645,01
10,2631,12
9,2540,01
12,2532,02
9,2531,02
11,2464,02
20,2447,01
20,2259,12
20,2206,02
10,2171,01
10,2006,02
21,1768,01
21,1762,12
21,1720,02
6,1664,01
6,1453,12
6,1408,02
22,1377,12
22,1252,01
23,1162,12
22,1129,02
23,954,01
0,834,12
23,742,02
0,626,01
1,614,12
5,573,01
5,522,02
0,512,02
5,493,12
1,491,01
2,398,12
2,324,01
1,264,02
4,258,12
3,213,12
2,194,02
4,190,01
4,165,02
3,159,01
3,111,02
