end_station_name,count,month,station_name,lat,lng
Grove St PATH,5798,08,Grove St PATH,40.719353872225085,-74.0431576855399
Grove St PATH,5523,07,Grove St PATH,40.719353872225085,-74.0431576855399
Grove St PATH,5293,06,Grove St PATH,40.719353872225085,-74.0431576855399
Hoboken Terminal - River St & Hudson Pl,4267,07,Hoboken Terminal - River St & Hudson Pl,40.73606068433677,-74.02921980308642
Hoboken Terminal - River St & Hudson Pl,3975,08,Hoboken Terminal - River St & Hudson Pl,40.73606068433677,-74.02921980308642
South Waterfront Walkway - Sinatra Dr & 1 St,3913,07,South Waterfront Walkway - Sinatra Dr & 1 St,40.737019777261544,-74.02781516269052
South Waterfront Walkway - Sinatra Dr & 1 St,3867,08,South Waterfront Walkway - Sinatra Dr & 1 St,40.737019777261544,-74.02781516269052
Hoboken Terminal - River St & Hudson Pl,3857,06,Hoboken Terminal - River St & Hudson Pl,40.73606068433677,-74.02921980308642
South Waterfront Walkway - Sinatra Dr & 1 St,3482,06,South Waterfront Walkway - Sinatra Dr & 1 St,40.737019777261544,-74.02781516269052
12 St & Sinatra Dr N,3335,07,12 St & Sinatra Dr N,40.75050836392064,-74.02417361106347
Grove St PATH,3201,2,Grove St PATH,40.719353872225085,-74.0431576855399
Grove St PATH,3168,01,Grove St PATH,40.719353872225085,-74.0431576855399
Hoboken Terminal - River St & Hudson Pl,3161,12,Hoboken Terminal - River St & Hudson Pl,40.73606068433677,-74.02921980308642
Grove St PATH,3001,12,Grove St PATH,40.719353872225085,-74.0431576855399
Hoboken Terminal - Hudson St & Hudson Pl,2964,08,Hoboken Terminal - Hudson St & Hudson Pl,40.73588602729506,-74.03037866474281
Newport PATH,2951,08,Newport PATH,40.727241564287155,-74.03377494760345
Newport PATH,2797,07,Newport PATH,40.727241564287155,-74.03377494760345
Hoboken Terminal - River St & Hudson Pl,2777,01,Hoboken Terminal - River St & Hudson Pl,40.73606068433677,-74.02921980308642
City Hall - Washington St & 1 St,2761,08,City Hall - Washington St & 1 St,40.73729415652105,-74.03103395289122
Hoboken Terminal - Hudson St & Hudson Pl,2739,07,Hoboken Terminal - Hudson St & Hudson Pl,40.73588602729506,-74.03037866474281
City Hall - Washington St & 1 St,2683,07,City Hall - Washington St & 1 St,40.73729415652105,-74.03103395289122
Hoboken Terminal - Hudson St & Hudson Pl,2661,06,Hoboken Terminal - Hudson St & Hudson Pl,40.73588602729506,-74.03037866474281
12 St & Sinatra Dr N,2658,08,12 St & Sinatra Dr N,40.75050836392064,-74.02417361106347
Hoboken Terminal - River St & Hudson Pl,2651,2,Hoboken Terminal - River St & Hudson Pl,40.73606068433677,-74.02921980308642
Newport PATH,2492,06,Newport PATH,40.727241564287155,-74.03377494760345
City Hall - Washington St & 1 St,2464,06,City Hall - Washington St & 1 St,40.73729415652105,-74.03103395289122
Newport Pkwy,2456,08,Newport Pkwy,40.728771569693954,-74.03209720695541
Newport Pkwy,2342,07,Newport Pkwy,40.728771569693954,-74.03209720695541
Hamilton Park,2337,07,Hamilton Park,40.72758195741273,-74.04425474975753
Hamilton Park,2329,08,Hamilton Park,40.72758195741273,-74.04425474975753
Hamilton Park,2257,06,Hamilton Park,40.72758195741273,-74.04425474975753
Marin Light Rail,2205,08,Marin Light Rail,40.71461593774392,-74.04280647497728
12 St & Sinatra Dr N,2182,06,12 St & Sinatra Dr N,40.75050836392064,-74.02417361106347
Newport Pkwy,2177,06,Newport Pkwy,40.728771569693954,-74.03209720695541
Marin Light Rail,2126,07,Marin Light Rail,40.71461593774392,-74.04280647497728
Hudson St & 4 St,2109,08,Hudson St & 4 St,40.74084981097077,-74.02870201987967
Exchange Pl,2092,08,Exchange Pl,40.7164528329811,-74.0344106788182
Bergen Ave & Sip Ave,2085,08,Bergen Ave & Sip Ave,40.73105791483677,-74.06432696268313
Bergen Ave & Sip Ave,2022,07,Bergen Ave & Sip Ave,40.73105791483677,-74.06432696268313
11 St & Washington St,2018,07,11 St & Washington St,40.74996341243374,-74.02725250495577
11 St & Washington St,2016,08,11 St & Washington St,40.74996341243374,-74.02725250495577
Harborside,1984,08,Harborside,40.71933225235463,-74.0342925772739
14 St Ferry - 14 St & Shipyard Ln,1927,06,14 St Ferry - 14 St & Shipyard Ln,40.75265636635399,-74.02432327947906
Liberty Light Rail,1890,08,Liberty Light Rail,40.71134923136692,-74.05558174770286
Harborside,1887,07,Harborside,40.71933225235463,-74.0342925772739
